title,description,salary_min,salary_max,latitude,longitude,salary_mid,country,region,county,city,skills_extracted
Dentist,"Associate Dentist Jobs Near Bath, Somerset. High private demand in a mixed practice, Up to £14.50 per UDA, Established patient list to inherit from a retiring dentist, State-of-the-art practice and equipment. ZEST Dental Recruitment working in partnership with an established dental practice is seeking to recruit an Associate Dentist in Near Bath, Somerset. Part-time Associate Dentist Near Bath, Somerset Beautiful location outside of Bath (~20 minutes) Up to £14.50 UDA (dependent on experience) …",80000.0,110000.0,51.3811,-2.35862,95000.0,UK,South West England,Bath & N E Somerset,Bath,general skills
Dentist,"Associate Dentist Jobs in Mold, Flintshire. Great location 30 minutes from Chester, £10,000 welcome bonus, Excellent opportunity for private including Invisalign. ZEST Dental Recruitment working in partnership with an established dental practice is seeking to recruit an Associate Dentist. Full or part-time Associate Dentist Mold, Flintshire Up to five days per week available Great location 30 minutes from Chester Excellent opportunity for private including Invisalign £10,000 welcome bonus avail…",100000.0,120000.0,53.167702,-3.14232,110000.0,UK,Wales,Flintshire,Mold,general skills
Optometrist - Congleton - Advanced Practice,"Optometrist Jobs Congleton Advanced Opticians | Up to £60,000  Benefits Zest Optical are working alongside an advanced Opticians based in Congleton, Cheshire to recruit an Optometrist into their team. This is a fantastic opportunity to join a director-led practice known for its community focus, advanced equipment and supportive environment. The role has become available due to the current resident relocating back home, creating the chance for you to step into a well-established and loyal patien…",45000.0,60000.0,53.164001,-2.21001,52500.0,UK,North West England,Cheshire,Congleton,general skills
Clinical Deputy Home Manager,"A fantastic new job opportunity has arisen for a committed Nurse Deputy Home Manager to work in an exceptional care home based in the Newtownabbey, Northern Ireland area. You will be working for one of UK's leading health care providers This welcoming care home provides nursing care and respite care and is well-known for its busy activities programme To be considered for this position you must be qualified as a Registered Nurse with a current active NMC Pin As the Deputy Manager your key respon…",0.0,47495.0,54.679352,-5.893641,23747.5,UK,Northern Ireland,Carrickfergus,Greenisland,nursing
Nurse,"Job Description What you’ll do As a Registered Nurse working within our complex care packages, you will deliver high-quality, person-centred nursing care to clients with a range of complex needs. You will follow an up-to-date care plan and work closely with the client’s family, the wider multidisciplinary team, and under the guidance of our Complex Community Nurse to ensure holistic and compassionate support. This rewarding role involves clinical tasks such as percutaneous endoscopic jejunostom…",33667.16,33667.16,51.513302,-0.301519,33667.16,UK,London,West London,Ealing,nursing clinical
DEPUTY MANAGER,"Support our healthcare operations as a Deputy Manager, helping manage staff, daily operations, and ensuring smooth service delivery. Responsibilities: Assist with staffing, scheduling, and daily operations. Support staff development and performance management. Ensure compliance with policies and regulations. Requirements: Experience in healthcare management. Leadership and problem-solving skills. Knowledge of healthcare regulations. Salary 47,000.00 Per Annum / Package",37362.38,37362.38,52.483002,-1.89359,37362.38,UK,West Midlands,Birmingham,Unknown,healthcare
Care Assistant,"Job Description Our care assistants are the extraordinary people who do the everyday things that mean so much to our clients. Supporting them to live safer and supported lives in their own homes, you’ll follow individual care plans and assist with personal care, helping clients to bathe, dress, manage incontinence, use the toilet and supporting them with their medication. You’ll also help with practical tasks like shopping, mealtimes and housework.",33987.89,33987.89,52.041698,-4.30911,33987.89,UK,Wales,Ceredigion,Llandysul,general healthcare skills
Senior Carer - Residential Care Home - Bank,"ABOUT THE ROLE As a Bank Residential Senior Carer at a Barchester care home, you'll look after the different needs of our residents to enable us to deliver quality, person-centred care and support. You will be responsible for leading a team of care staff, which will include training, supervisions and delegating duties on shift. You will also support with the administering and ordering of medication, reviewing and updating resident care plans and risk assessment, and liaising with GP's, district…",35505.0,35505.0,51.585999,0.605291,35505.0,UK,Eastern England,Essex,Rayleigh,general healthcare skills
Registered Nurse (RMN) - Bank - Hospital,"ABOUT THE ROLE As a Bank Registered Nurse (RMN) at a Barchester independent mental health hospital, you'll use your compassion and experience to deliver the quality care and support we're known for. Working within a multi-disciplinary team, you'll provide care and support to patients with complex and sometimes challenging behaviours. You'll help improve patients' quality of life by ensuring their needs are met and that each person is always treated with dignity and respect. That means you'll ta…",41600.0,41600.0,53.749953,-0.308097,41600.0,UK,Yorkshire And The Humber,East Riding Of Yorkshire,Hull,general healthcare skills
Oracle HCM Support Analyst,What youll be doing: • Provide functional/technical expertise to support Oracle Cloud HCM • Develop and/or fine tune estimating models and methodologies • Able to architect an Oracle Cloud HCM transformation • Able to present solutions to clients and prospects and address any queries • Act as the functional owner Oracle Cloud HCM in an ERP system • Can recommend and make decisions materially impacting the success of project outcomes • The person playing this role will build working relationship…,73740.7,73740.7,52.483002,-1.89359,73740.7,UK,West Midlands,Birmingham,Unknown,general tech skills
